FAMILY,FISH_CODE,GENUS,SPECIES,Dashboard_trophic,Dashboard_harvested,Dashboard_large,Dashboard_trout,Dashboard_herbivores,Orig LTMP,Dashboard species list
Acanthuridae,ACA.ALBI,Acanthurus,albipectoralis,Planktivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.AURA,Acanthurus,auranticavus,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.BARI,Acanthurus,bariene,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.BLOC,Acanthurus,blochii,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.DUSS,Acanthurus,dussumieri,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.FOWL,Acanthurus,fowleri,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.GRAM,Acanthurus,grammoptilus,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.LEUC,Acanthurus,leucocheilus,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.LINE,Acanthurus,lineatus,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.MACU,Acanthurus,maculiceps,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.MATA,Acanthurus,mata,Planktivores,no,yes,no,no,yes,restricted
Acanthuridae,ACA.NANS,Acanthurus,nigricans,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.NCUS,Acanthurus,nigrofuscus,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.NRIS,Acanthurus,nigroris,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.NUDA,Acanthurus,nigricauda,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.OLIV,Acanthurus,olivaceus,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.PYRO,Acanthurus,pyroferus,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.THOM,Acanthurus,thompsoni,Planktivores,no,yes,no,no,yes,restricted
Acanthuridae,ACA.TRIO,Acanthurus,triostegus,Omnivore,no,yes,no,yes,yes,restricted
Acanthuridae,ACA.XANT,Acanthurus,xanthopterus,Omnivore,no,yes,no,yes,yes,restricted
Acanthuridae,CTE.BINO,Ctenochaetus,binotatus,Detritivores,no,yes,no,yes,no,restricted
Acanthuridae,CTE.CYAN,Ctenochaetus,strigosus,Detritivores,no,yes,no,yes,no,restricted
Acanthuridae,CTE.GROP,Ctenochaetus,spp,Detritivores,no,yes,no,yes,yes,restricted
Acanthuridae,CTE.STRI,Ctenochaetus,striatus,Detritivores,no,yes,no,yes,no,restricted
Acanthuridae,NAS.ANNU,Naso,annulatus,Planktivores,no,yes,no,yes,no,expanded
Acanthuridae,NAS.BRAC,Naso,brachycentron,Browsers,no,yes,no,yes,no,expanded
Acanthuridae,NAS.BREV,Naso,brevirostris,Planktivores,no,yes,no,yes,no,expanded
Acanthuridae,NAS.CAER,Naso,caeruleacauda,Planktivores,no,yes,no,no,no,expanded
Acanthuridae,NAS.CAES,Naso,caesius,Planktivores,no,yes,no,no,no,expanded
Acanthuridae,NAS.HEXA,Naso,hexacanthus,Planktivores,no,yes,no,no,no,expanded
Acanthuridae,NAS.LITU,Naso,lituratus,Browsers,no,yes,no,yes,yes,restricted
Acanthuridae,NAS.THOR,Naso,thorpei,Planktivores,no,yes,no,,no,expanded
Acanthuridae,NAS.TONG,Naso,tonganus,Browsers,no,yes,no,yes,yes,restricted
Acanthuridae,NAS.UNIC,Naso,unicornis,Browsers,no,yes,no,yes,yes,restricted
Acanthuridae,NAS.VLAM,Naso,vlamingii,Planktivores,no,yes,no,no,no,expanded
Acanthuridae,PCT.HEPA,Paracanthurus,hepatus,Planktivores,no,yes,no,no,yes,restricted
Acanthuridae,PRO.MACU,Prionurus,maculatus,Browsers,no,yes,no,yes,no,expanded
Acanthuridae,PRO.MICR,Prionurus,microlepidotus,Browsers,no,yes,no,yes,no,expanded
Acanthuridae,ZEB.SCOP,Zebrasoma,scopas,Croppers,no,yes,no,yes,yes,restricted
Acanthuridae,ZEB.VELI,Zebrasoma,veliferum,Browsers,no,yes,no,yes,yes,restricted
Apogonidae,ARC.FUCA,Archamia,fucata,Planktivores,no,yes,no,no,no,expanded
Aulostomidae,AUL.CHIN,Aulostomus,chinensis,Carnivore,no,yes,no,no,no,expanded
Balistidae,ABA.STEL,Abalistes,stellatus,Carnivore,no,yes,no,no,no,expanded
Balistidae,BAL.UNDU,Balistapus,undulatus,Omnivore,no,yes,no,no,no,expanded
Balistidae,BAL.VIRI,Balistoides,viridescens,Carnivore,no,yes,no,no,no,expanded
Balistidae,BALI.CONS,Balistoides,conspicillum,Carnivore,no,yes,no,no,no,expanded
Balistidae,MEL.NIGE,Melichthys,niger,Omnivore,no,yes,no,no,no,expanded
Balistidae,MEL.VIDU,Melichthys,vidua,Omnivore,no,yes,no,no,no,expanded
Balistidae,ODO.NIGE,Odonus,niger,Omnivore,no,yes,no,no,no,expanded
Balistidae,PSB.FUSC,Pseudobalistes,fuscus,Carnivore,no,yes,no,no,no,expanded
Balistidae,PSE.FLAV,Pseudobalistes,flavimarginatus,Carnivore,no,yes,no,no,no,expanded
Balistidae,RHE.ACUL,Rhinecanthus,aculeatus,Omnivore,no,yes,no,no,no,expanded
Balistidae,RHIN.RECT,Rhinecanthus,rectangulus,Omnivore,no,yes,no,no,no,expanded
Balistidae,SUF.BURS,Sufflamen,bursa,Omnivore,no,yes,no,no,no,expanded
Balistidae,SUF.CHRY,Sufflamen,chrysopterus,Carnivore,no,yes,no,no,no,expanded
Balistidae,SUF.FRAE,Sufflamen,fraenatum,Omnivore,no,yes,no,no,no,expanded
Balistidae,SUF.FREN,Sufflamen,fraenatus,Carnivore,no,yes,no,no,no,expanded
Belonidae,TYL.CROC,Tylosurus,crocodilus crocodilus,Carnivore,no,yes,no,no,no,expanded
Caesionidae,CAE.CAER,Caesio,caerulaurea,Planktivores,no,yes,no,no,no,expanded
Caesionidae,CAE.CUNI,Caesio,cuning,Planktivores,no,yes,no,no,no,expanded
Caesionidae,CAE.LUNA,Caesio,lunaris,Planktivores,no,yes,no,no,no,expanded
Caesionidae,CAE.TERE,Caesio,teres,Planktivores,no,yes,no,no,no,expanded
Caesionidae,CAE.XANT,Caesio,xanthonota,Planktivores,no,yes,no,no,no,expanded
Caesionidae,PTE.CHRY,Pterocaesio,chrysozona,Planktivores,no,yes,no,no,no,expanded
Caesionidae,PTE.DIAG,Pterocaesio,digramma,Planktivores,no,yes,no,no,no,expanded
Caesionidae,PTE.MARR,Pterocaesio,marri,Planktivores,no,yes,no,no,no,expanded
Caesionidae,PTE.PISA,Pterocaesio,pisang,Planktivores,no,yes,no,no,no,expanded
Caesionidae,PTE.TILE,Pterocaesio,tile,Planktivores,no,yes,no,no,no,expanded
Caesionidae,PTE.TRIL,Pterocaesio,trilineata,Planktivores,no,yes,no,no,no,expanded
Carangidae,ALE.VARI,Alepes,vari,Carnivore,no,yes,no,no,no,expanded
Carangidae,ATU.MATE,Atule,mate,Carnivore,no,yes,no,no,no,expanded
Carangidae,CAR.FERD,Carangoides,ferdau,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAR.FULV,Carangoides,fulvoguttatus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAR.GYMN,Carangoides,gymnostethus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAR.ORTH,Carangoides,orthogrammus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAR.PLA,Carangoides,plagiotaenia,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAX.IGNO,Caranx,ignobilis,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAX.MELA,Caranx,melampygus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAX.PAP,Caranx,papuensis,Carnivore,yes,yes,no,no,no,expanded
Carangidae,CAX.SEXF,Caranx,sexfasciatus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,ELA.BIPI,Elagatis,bipinnulata,Carnivore,yes,yes,no,no,no,expanded
Carangidae,GNH.SPEC,Gnathanodon,speciosus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,SCB.COMM,Scomberoides,commersonnianus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,SCB.LYSA,Scomberoides,lysan,Carnivore,yes,yes,no,no,no,expanded
Carangidae,TRA.BLOC,Trachinotus,blochii,Carnivore,yes,yes,no,no,no,expanded
Carangidae,TUR.GYMN,Turrum,gymnostethus,Carnivore,yes,yes,no,no,no,expanded
Carangidae,ULU.MENT,Ulua,mentalis,Carnivore,yes,yes,no,no,no,expanded
Carangidae,URA.HELV,Uraspis,helvola,Carnivore,yes,yes,no,no,no,expanded
Carcharhinidae,TRI.OBES,Triaenodon,obesus,Carnivore,no,yes,no,no,no,expanded
Centropomidae,PSA.WAI,Psammoperca,waigiensis,Carnivore,yes,yes,no,no,no,expanded
Centropomidae,PSAM.WAIG,Psammoperca,waigiensis,Carnivore,yes,yes,no,no,no,expanded
Centropomidae,PSA.DATN,Psammoperca,datnioides,Carnivore,yes,yes,no,no,no,expanded
Chaetodontidae,CHA.ADIE,Chaetodon,adiergastos,Carnivore,no,yes,no,no,no,expanded
Chaetodontidae,CHA.AFAS,Chaetodon,aureofasciatus,Corallivore,no,yes,no,no,yes,restricted
Chaetodontidae,CHA.AURI,Chaetodon,auriga,Carnivore,no,yes,no,no,yes,restricted
